Anwendungszweck;Jahr;PJ
Raumwärme;2011;2395,9
Warmwasser;2011;476,8
Prozesswärme;2011;1957,7
Wärme ges.;2011;4829,8
Klimakälte;2011;33,3
Prozesskälte;2011;159,2
Kälte ges.;2011;192,5
Mechanik;2011;3337,9
IKT;2011;211,3
Beleuchtung;2011;309,3
EEV;2011;8881,4
Raumwärme;2012;2472,1
Warmwasser;2012;473,1
Prozesswärme;2012;1911,1
Wärme ges.;2012;4856,3
Klimakälte;2012;33,8
Prozesskälte;2012;161,5
Kälte ges.;2012;195,3
Mechanik;2012;3331,4
IKT;2012;215,1
Beleuchtung;2012;320,5
EEV;2012;8918,5
Raumwärme;2013;2736,2
Warmwasser;2013;426,5
Prozesswärme;2013;1888,4
Wärme ges.;2013;5051
Klimakälte;2013;36,9
Prozesskälte;2013;189
Kälte ges.;2013;225,9
Mechanik;2013;3405,1
IKT;2013;212,9
Beleuchtung;2013;283,5
EEV;2013;9178,5
Raumwärme;2014;2280,4
Warmwasser;2014;411
Prozesswärme;2014;1892,1
Wärme ges.;2014;4583,5
Klimakälte;2014;37
Prozesskälte;2014;166,1
Kälte ges.;2014;203
Mechanik;2014;3432,9
IKT;2014;207,1
Beleuchtung;2014;272,2
EEV;2014;8698,8
Raumwärme;2015;2433,3
Warmwasser;2015;414,3
Prozesswärme;2015;1915,1
Wärme ges.;2015;4762,7
Klimakälte;2015;37,4
Prozesskälte;2015;188,5
Kälte ges.;2015;225,9
Mechanik;2015;3428
IKT;2015;209,4
Beleuchtung;2015;272
EEV;2015;8898,1
Raumwärme;2016;2462,6
Warmwasser;2016;420,4
Prozesswärme;2016;1978,5
Wärme ges.;2016;4861,5
Klimakälte;2016;38,2
Prozesskälte;2016;188,8
Kälte ges.;2016;227,1
Mechanik;2016;3508,2
IKT;2016;209,2
Beleuchtung;2016;265,1
EEV;2016;9071,2
Raumwärme;2017;2443,5
Warmwasser;2017;439,5
Prozesswärme;2017;2036
Wärme ges.;2017;4918,9
Klimakälte;2017;38,8
Prozesskälte;2017;189,7
Kälte ges.;2017;228,5
Mechanik;2017;3589
IKT;2017;212,6
Beleuchtung;2017;258,8
EEV;2017;9207,8
Raumwärme;2018;2268,6
Warmwasser;2018;456,7
Prozesswärme;2018;1984,2
Wärme ges.;2018;4709,5
Klimakälte;2018;39,6
Prozesskälte;2018;191,3
Kälte ges.;2018;230,9
Mechanik;2018;3513,1
IKT;2018;214,5
Beleuchtung;2018;256,1
EEV;2018;8924,1
Raumwärme;2019;2385,7
Warmwasser;2019;472
Prozesswärme;2019;1923,3
Wärme ges.;2019;4780,9
Klimakälte;2019;40
Prozesskälte;2019;192,5
Kälte ges.;2019;232,5
Mechanik;2019;3493,5
IKT;2019;215,9
Beleuchtung;2019;250,6
EEV;2019;8973,4
Raumwärme;2020;2373,5
Warmwasser;2020;471,3
Prozesswärme;2020;1859,3
Wärme ges.;2020;4704
Klimakälte;2020;39,6
Prozesskälte;2020;194,9
Kälte ges.;2020;234,5
Mechanik;2020;3000,4
IKT;2020;217,2
Beleuchtung;2020;243,8
EEV;2020;8399,9
Raumwärme;2021;2426,2
Warmwasser;2021;474,7
Prozesswärme;2021;1956,1
Wärme ges.;2021;4857,1
Klimakälte;2021;39,9
Prozesskälte;2021;196,3
Kälte ges.;2021;236,2
Mechanik;2021;3113,2
IKT;2021;220,6
Beleuchtung;2021;239,8
EEV;2021;8667
