Jahr;Monat;hdd
2022;Dez;500,2
2022;Nov;336,64
2022;Okt;140,12
2022;Sep;115,61
2022;Aug;1,35
2022;Jul;5,65
2022;Jun;18,98
2022;Mai;99,91
2022;Apr;299,09
2022;Mrz;388,49
2022;Feb;367,5
2022;Jan;462,78
2021;Dez;474,56
2021;Nov;382,27
2021;Okt;239,78
2021;Sep;56,85
2021;Aug;22,94
2021;Jul;3,59
2021;Jun;7,23
2021;Mai;211,34
2021;Apr;347,14
2021;Mrz;392,66
2021;Feb;445,33
2021;Jan;530,5
2020;Dez;457,12
2020;Nov;340,3
2020;Okt;222,86
2020;Sep;76,01
2020;Aug;6,56
2020;Jul;18,03
2020;Jun;33,81
2020;Mai;175,98
2020;Apr;226,14
2020;Mrz;381,55
2020;Feb;357,49
2020;Jan;445,18
2019;Dez;435,16
2019;Nov;373,64
2019;Okt;198,22
2019;Sep;86,66
2019;Aug;3,48
2019;Jul;16,58
2019;Jun;4,22
2019;Mai;201,98
2019;Apr;237,95
2019;Mrz;336,97
2019;Feb;376,06
2019;Jan;529,89
2018;Dez;432,68
2018;Nov;370,89
2018;Okt;200,05
2018;Sep;73,26
2018;Aug;11,04
2018;Jul;3,53
2018;Jun;22,67
2018;Mai;63,02
2018;Apr;149,37
2018;Mrz;470,87
2018;Feb;543,3
2018;Jan;434,27
