"","Datum","Jahr","Monat","Importe","Exporte","Saldo"
"1",2019-01-01,2019,1,1293901,855946,437955
"2",2019-02-01,2019,2,1245563,1614321,-368758
"3",2019-03-01,2019,3,1427737,1551606,-123869
"4",2019-04-01,2019,4,1111705,1785334,-673629
"5",2019-05-01,2019,5,1601217,1193030,408187
"6",2019-06-01,2019,6,1306816,1090225,216591
"7",2019-07-01,2019,7,1499993,1515331,-15338
"8",2019-08-01,2019,8,1434025,1035935,398090
"9",2019-09-01,2019,9,1020802,1255899,-235097
"10",2019-10-01,2019,10,1711186,1209595,501591
"11",2019-11-01,2019,11,1270725,1233713,37012
"12",2019-12-01,2019,12,1407594,862243,545351
"13",2020-01-01,2020,1,1081175,982672,98503
"14",2020-02-01,2020,2,1593377,1423701,169676
"15",2020-03-01,2020,3,1708170,1014092,694078
"16",2020-04-01,2020,4,1296569,899837,396732
"17",2020-05-01,2020,5,1553469,1130254,423215
"18",2020-06-01,2020,6,1164416,1188568,-24152
"19",2020-07-01,2020,7,857808,1161459,-303651
"20",2020-08-01,2020,8,1042587,926867,115720
"21",2020-09-01,2020,9,1621239,1348388,272851
"22",2020-10-01,2020,10,1072122,1053801,18321
"23",2020-11-01,2020,11,1170099,1090767,79332
"24",2020-12-01,2020,12,767774,723598,44176
"25",2021-01-01,2021,1,631888,921527,-289639
"26",2021-02-01,2021,2,824210,1102863,-278653
"27",2021-03-01,2021,3,808292,903435,-95143
"28",2021-04-01,2021,4,854777,1065388,-210611
"29",2021-05-01,2021,5,961078,1141403,-180325
"30",2021-06-01,2021,6,597304,927493,-330189
"31",2021-07-01,2021,7,777621,1335457,-557836
"32",2021-08-01,2021,8,690378,1019134,-328756
"33",2021-09-01,2021,9,1241536,1345781,-104245
"34",2021-10-01,2021,10,502201,1176908,-674707
"35",2021-11-01,2021,11,520388,1373961,-853573
"36",2021-12-01,2021,12,662103,950683,-288580
"37",2022-01-01,2022,1,516895,888551,-371656
"38",2022-02-01,2022,2,370265,985872,-615607
"39",2022-03-01,2022,3,589282,1099804,-510522
"40",2022-04-01,2022,4,537257,821680,-284423
"41",2022-05-01,2022,5,652910,1143682,-490772
"42",2022-06-01,2022,6,472763,1270918,-798155
"43",2022-07-01,2022,7,591205,1122770,-531565
"44",2022-08-01,2022,8,431066,1393004,-961938
"45",2022-09-01,2022,9,427257,1159162,-731905
"46",2022-10-01,2022,10,552361,1300967,-748606
"47",2022-11-01,2022,11,506580,1508643,-1002063
"48",2022-12-01,2022,12,351404,1236744,-885340
"49",2023-01-01,2023,1,375628,869612,-493984
"50",2023-02-01,2023,2,497587,1080810,-583223
"51",2023-03-01,2023,3,757882,933196,-175314
"52",2023-04-01,2023,4,347110,1031455,-684345
"53",2023-05-01,2023,5,544788,1046449,-501661
"54",2023-06-01,2023,6,637946,1042265,-404319
"55",2023-07-01,2023,7,389408,1377953,-988545
