"","Jahr","Monat","Einfuhr.von.Steinkohle.in.Tonnen","Einfuhr.von.Steinkohle.in.Gigajoule","Durchschnittlicher.Heizwert.von.Steinkohle..Hi.","Einfuhr.von.Steinkohle.in.Euro","Einfuhr.von.Steinkohle.in.Euro.t","Einfuhr.von.Steinkohle.in.Euro.tSKE","Datum"
"1",2022,"Januar",3604173,97539690,27063,677038361,187.85,203.43,2023-01-01
"2",2022,"Februar",3022347,82261021,27218,734954127,243.17,261.85,2023-02-01
"3",2022,"März",3194264,86840420,27186,882210862,276.19,297.74,2023-03-01
"4",2022,"April",3167561,86405703,27278,1049291923,331.26,355.91,2023-04-01
"5",2022,"Mai",2766905,76538390,27662,998524334,360.88,382.35,2023-05-01
"6",2022,"Juni",2706974,75662379,27951,1065228712,393.51,412.62,2023-06-01
"7",2022,"Juli",2708347,77122013,28476,1108049466,409.12,421.08,2023-07-01
"8",2022,"August",2440624,66633825,27302,924415706,378.76,406.59,2023-08-01
"9",2022,"September",2884964,78404398,27177,1058767999,367,395.77,2023-09-01
"10",2022,"Oktober",3116957,84129199,26991,1028482702,329.96,358.29,2023-10-01
"11",2022,"November",2708546,73423317,27108,790410198,291.82,315.5,2023-11-01
"12",2022,"Dezember",2977436,80484854,27032,818494516,274.9,298.05,2023-12-01
"13",2023,"Januar",3239511,87607736,27044,777338373,239.96,260.05,2023-01-01
"14",2023,"Februar",2626030,71484861,27222,578791064,220.41,237.3,2023-02-01
"15",2023,"März",2883106,79327644,27515,665078918,230.68,245.72,2023-03-01
"16",2023,"April",2101497,60095003,28596,565226362,268.96,275.66,2023-04-01
"17",2023,"Mai",1972780,55878728,28325,503393943,255.17,264.03,2023-05-01
"18",2023,"Juni",1843187,52461929,28463,421005113,228.41,235.2,2023-06-01
"19",2023,"Juli",1720434,49656763,28863,402068119,233.7,237.31,2023-07-01
"20",2023,"August",NA,NA,NA,NA,NA,NA,2023-08-01
"21",2023,"September",NA,NA,NA,NA,NA,NA,2023-09-01
"22",2023,"Oktober",NA,NA,NA,NA,NA,NA,2023-10-01
"23",2023,"November",NA,NA,NA,NA,NA,NA,2023-11-01
