"Datum","Jahr","Monat","Biomasse","Biomasse (Flexprämie)","Geothermie","PV - Dachfläche","PV - Freifläche","PV - Gesamt","Wasserkraft","Windenergie an Land","Windenergie auf See"
2022-01-01,"2022","Jan",6.1,0.9,0,314,195.6,509,NA,84.5,0
2022-02-01,"2022","Feb",2.4,1.6,0,280.6,418.6,699.2,NA,141.3,0
2022-03-01,"2022","Mrz",6.4,1.9,0,416.3,422.1,838.4,NA,113.4,0
2022-04-01,"2022","Apr",7.1,0.8,0,304.1,183,487.1,NA,97.3,0
2022-05-01,"2022","Mai",4.8,3.1,0,361.2,279.1,640.3,NA,198.7,0
2022-06-01,"2022","Jun",7,4.6,0,353.6,200.3,553.9,NA,220.2,0
2022-07-01,"2022","Jul",-5.9,2.7,0,323.1,156.9,480,NA,178.9,9
2022-08-01,"2022","Aug",2.1,2,0,490.5,186.2,676.7,NA,146.5,162
2022-09-01,"2022","Sep",3.1,0.9,0,443.5,359,802.5,NA,243.3,9
2022-10-01,"2022","Okt",9.8,1.9,4.7,353.7,235.6,589.3,NA,152.7,45
2022-11-01,"2022","Nov",2.9,0.4,0,344.2,274.1,618.3,NA,237.4,72
2022-12-01,"2022","Dez",9.4,0.4,0,213,182.8,395.8,NA,306.1,45
