Monat,Temperatur,Durchschnitt2000_2022
01.01.20,3.48,0.969565217391304,
01.02.20,5.29,1.76391304347826,
01.03.20,5.27,4.6795652173913,
01.04.20,10.35,9.06695652173913,
01.05.20,11.91,13.1978260869565,
01.06.20,16.89,16.8713043478261,
01.07.20,17.69,18.4247826086957,
01.08.20,19.95,18.084347826087,
01.09.20,14.82,14.0352173913043,
01.10.20,10.21,9.85869565217391,
01.11.20,6.18,5.34260869565217,
01.12.20,3.08,2.12608695652174,
01.01.21,0.63,0.969565217391304,
01.02.21,1.71,1.76391304347826,
01.03.21,4.77,4.6795652173913,
01.04.21,6.02,9.06695652173913,
01.05.21,10.72,13.1978260869565,
01.06.21,18.98,16.8713043478261,
01.07.21,18.37,18.4247826086957,
01.08.21,16.4,18.084347826087,
01.09.21,15.16,14.0352173913043,
01.10.21,9.63,9.85869565217391,
01.11.21,4.9,5.34260869565217,
01.12.21,2.58,2.12608695652174,
01.01.22,2.79,0.969565217391304,
01.02.22,4.47,1.76391304347826,
01.03.22,5.09,4.6795652173913,
01.04.22,7.75,9.06695652173913,
01.05.22,14.44,13.1978260869565,
01.06.22,18.33,16.8713043478261,
01.07.22,19.13,18.4247826086957,
01.08.22,20.23,18.084347826087,
01.09.22,13.37,14.0352173913043,
01.10.22,12.52,9.85869565217391,
01.11.22,6.35,5.34260869565217,
01.12.22,1.8,2.12608695652174,
01.01.23,3.62,0.969565217391304,
01.02.23,3.21,1.76391304347826,
01.03.23,5.74,4.6795652173913,
01.04.23,7.53,9.06695652173913,
01.05.23,13.08,13.1978260869565,
01.06.23,18.56,16.8713043478261,
01.07.23,18.72,18.4247826086957,
01.08.23,18.26,18.084347826087,
01.09.23,17.29,14.0352173913043,
01.10.23,NA,9.85869565217391,
01.11.23,NA,5.34260869565217,
01.12.23,NA,2.12608695652174,
