"","Datum","Verarbeitendes Gewerbe","Produzierendes Gewerbe","VorleistungsgÃ¼ter","InvestitionsgÃ¼ter","Energieintensive Industriezweige","Energieversorgung"
"1",2008-01-01,100.8,101.3,102.8,99.1,109.2,96.8
"2",2008-02-01,100.5,100.9,103.7,98,108.5,98.3
"3",2008-03-01,99.9,100,103.7,96.4,107.8,102
"4",2008-04-01,100.2,100.5,103.5,98,107.4,107.7
"5",2008-05-01,98.2,98.4,101.9,95.2,106.8,104.3
"6",2008-06-01,99.3,99.3,102.1,97.1,106.6,104.3
"7",2008-07-01,97.7,97.8,101,94.7,106.5,102.4
"8",2008-08-01,99.6,99.5,102.9,96.8,108.2,100.4
"9",2008-09-01,97.2,97.7,99.5,95.1,104.7,104
"10",2008-10-01,95.2,95.7,97.3,91.8,103.1,101.6
"11",2008-11-01,91.2,91.6,91.3,89.2,95.2,95.1
"12",2008-12-01,87.6,88.7,84.8,86.3,87.7,94.5
"13",2009-01-01,80.4,82.6,79.3,75.9,82.1,98.9
"14",2009-02-01,77.8,80.2,78.8,71.6,83.3,95.6
"15",2009-03-01,78.3,80.5,77.3,74.4,80.7,90
"16",2009-04-01,76.2,78.3,75.7,69.7,81.9,87.1
"17",2009-05-01,79.7,81.3,78.7,75.1,84.4,89.9
"18",2009-06-01,80.5,82.6,80.4,75.5,87.4,99.8
"19",2009-07-01,79.6,81.6,80.9,73.1,89,99.8
"20",2009-08-01,80.8,83,83.1,73.6,91.1,100.3
"21",2009-09-01,84.3,86,85.3,78.9,92.4,98.9
"22",2009-10-01,82.5,84.2,85.8,75.1,92.3,98.2
"23",2009-11-01,83.2,84.9,86.8,75.8,94.8,95.4
"24",2009-12-01,83.3,85.1,86,76.1,92.2,100.3
"25",2010-01-01,84.1,85.9,87.1,76.4,93.8,102.8
"26",2010-02-01,83.5,84.8,87.1,76,93.2,101.1
"27",2010-03-01,86.1,87.3,89.3,79.7,97.3,96.1
"28",2010-04-01,87.7,89.4,92.3,80.6,99,100.4
"29",2010-05-01,90.4,91.9,94.6,84.3,100.9,103.2
"30",2010-06-01,90.3,91.1,94.2,84.1,100.9,95
"31",2010-07-01,89.6,90.9,94.5,82.3,100.1,100.5
"32",2010-08-01,91.1,92.1,96.1,84.1,102.5,98
"33",2010-09-01,92.4,93.3,95.9,87,101.6,98.6
"34",2010-10-01,94.4,94.8,97.4,90,101.9,100.7
"35",2010-11-01,93.9,94.3,97.3,89.1,102.7,100.8
"36",2010-12-01,95.4,94.9,96.3,93.8,99.5,105.9
"37",2011-01-01,95.2,95.7,99.2,90.6,103.1,99.6
"38",2011-02-01,96.3,96.7,99.8,92,103.6,99.9
"39",2011-03-01,96.9,96.9,100.2,93,103.8,98.2
"40",2011-04-01,97.4,97.1,101.1,93.2,104.5,94.7
"41",2011-05-01,98.7,98,101.1,95.9,103.7,92
"42",2011-06-01,97.1,96.5,100.6,93.4,103.1,91.6
"43",2011-07-01,100.1,99.4,102.4,97.5,103.4,94.6
"44",2011-08-01,99.4,98.8,102.4,97.6,103,94.2
"45",2011-09-01,97.7,97.3,100.4,95.2,101,91.5
"46",2011-10-01,99,98.5,100.8,97.2,101.5,93.8
"47",2011-11-01,98.1,98.1,100.1,96.4,100,94.5
"48",2011-12-01,96.9,97,98.3,95.2,97.2,94.9
"49",2012-01-01,97.3,97.3,98.9,96.2,99.3,94.6
"50",2012-02-01,97.2,96.6,98.7,96.2,98.6,101.9
"51",2012-03-01,98.3,98.6,98.9,97.9,100,96.6
"52",2012-04-01,96.6,96.9,99,95,101,99.2
"53",2012-05-01,98.5,98.5,99.6,97.6,101.8,98.7
"54",2012-06-01,97.2,97.6,99.3,95.5,99.7,99.8
"55",2012-07-01,98.5,98.3,99.4,97.9,100.4,97.3
"56",2012-08-01,98.4,98.3,99.1,97.6,100.2,100.1
"57",2012-09-01,97.2,97.5,97.8,96.1,100,98.1
"58",2012-10-01,95.9,96.1,97.3,93.3,99.3,97.1
"59",2012-11-01,95.2,95.4,96.1,93.8,98.8,96.5
"60",2012-12-01,95.9,95.5,95.7,94.9,98.4,94.1
"61",2013-01-01,94.9,94.8,96.4,92.3,98.1,96.6
"62",2013-02-01,95.6,95.2,95.8,94.6,97.1,98.4
"63",2013-03-01,96.9,96.4,97.6,95.9,97.9,103.7
"64",2013-04-01,97.1,97.2,96.9,97.2,97.5,100.1
"65",2013-05-01,96.6,96.3,98.2,94.7,100.3,96.5
"66",2013-06-01,98.1,98,98.6,97.8,99.8,98.8
"67",2013-07-01,96.4,96.9,98.3,94.5,101,98.1
"68",2013-08-01,98.7,98.5,98.2,99.5,98.7,98.1
"69",2013-09-01,98.2,98.2,98.6,97.6,100,100.4
"70",2013-10-01,97.5,97.6,99.5,95.3,101.7,98
"71",2013-11-01,99.7,99.2,99.9,99.5,101.3,96.8
"72",2013-12-01,99.9,99.5,100.2,99.1,102.2,95.7
"73",2014-01-01,99.3,99.2,100,98.7,101.3,93.8
"74",2014-02-01,99.4,99.2,100.7,98.4,101.5,92.1
"75",2014-03-01,99.8,99.1,100.6,99.1,101.6,93.4
"76",2014-04-01,99.5,98.8,100.7,97.9,101.1,92.3
"77",2014-05-01,98.6,98,98.9,98.6,99.1,93.8
"78",2014-06-01,98.7,98.3,99.5,97.9,98.6,94.6
"79",2014-07-01,100.7,99.8,100.4,101.5,99.4,92
"80",2014-08-01,96.8,96.5,98.8,94.4,99.1,91.9
"81",2014-09-01,99.1,98.7,99.1,99.3,98.8,95.3
"82",2014-10-01,99.3,98.9,99.7,98.6,98.9,97.1
"83",2014-11-01,99.4,98.9,99.4,99.5,98.7,95.1
"84",2014-12-01,101.1,100.5,100.9,101.1,100.6,96.5
"85",2015-01-01,98.5,98.9,99.2,97.9,99.2,96.7
"86",2015-02-01,99.3,99.3,99.3,99.4,99.6,98.9
"87",2015-03-01,99.2,99.5,99.3,98.7,99.8,100.1
"88",2015-04-01,100.1,100.1,100.1,100.2,100.4,100.7
"89",2015-05-01,100.5,100.3,99.7,101.5,99.4,98
"90",2015-06-01,100.2,100,100.9,99,100.9,101.2
"91",2015-07-01,101.6,101.3,100.4,102.4,100.2,103.6
"92",2015-08-01,99.1,99.4,99.6,98.4,100.4,101.8
"93",2015-09-01,99.2,99.3,99.8,99,100.3,103.6
"94",2015-10-01,100.3,100,99.2,102.1,98.9,99.2
"95",2015-11-01,99,99.1,99.8,98.2,99.7,99.9
"96",2015-12-01,99.7,99.8,100.4,99,99.4,97.8
"97",2016-01-01,101.3,101.6,100.6,101.5,100.3,99.4
"98",2016-02-01,101.2,101.7,101.7,100.7,101.6,97.1
"99",2016-03-01,100.2,100.8,100.1,100.3,100.2,96.9
"100",2016-04-01,101.1,101.2,100.8,101.1,99.1,97.8
"101",2016-05-01,99.1,99.8,100.2,97.6,100.2,99.4
"102",2016-06-01,101.2,101.4,100.7,101.5,99.3,98.5
"103",2016-07-01,99.7,100.6,100.1,99,98.8,101.4
"104",2016-08-01,101.3,101.9,101.2,101.1,100.5,101.5
"105",2016-09-01,101,101.6,101.5,100.6,100.8,101.6
"106",2016-10-01,101.8,102.2,101,102.7,99.7,100
"107",2016-11-01,101.5,102,101.6,101.2,99.2,101.3
"108",2016-12-01,99.2,100.2,100.8,97.7,99.9,98.2
"109",2017-01-01,100.9,100.9,101.4,100.5,98.7,100.5
"110",2017-02-01,102,102.5,102,101.8,100,97.8
"111",2017-03-01,101.6,102.1,102.2,100.9,100.2,95.1
"112",2017-04-01,103.2,104,104.4,102.6,101.8,99.9
"113",2017-05-01,103.3,104.1,103.7,103.1,100.1,103.5
"114",2017-06-01,103.3,104,104.2,102.8,101,103.4
"115",2017-07-01,104.1,104.5,105.7,102.9,102.4,98.8
"116",2017-08-01,106.3,106.5,106.7,106.7,103.6,102.1
"117",2017-09-01,105.4,105.6,106.7,104.8,103.9,98.6
"118",2017-10-01,103.8,104.4,105.6,102.9,102.9,101
"119",2017-11-01,107.6,107.5,108.5,107.4,104.7,100.4
"120",2017-12-01,106.9,107,108.6,106.2,104.5,100.9
"121",2018-01-01,106.5,106.3,106.2,106.6,102.3,95.8
"122",2018-02-01,104.4,104,105.1,103.1,100.7,100.5
"123",2018-03-01,105.9,105.4,104.9,106.5,99.5,101.7
"124",2018-04-01,105.5,105.3,104.9,106.2,100.6,98
"125",2018-05-01,107.2,107.1,107.2,105.7,103.4,98.3
"126",2018-06-01,106.7,106.5,106.9,105.9,102.7,100.2
"127",2018-07-01,104.6,105,105.8,102.6,102.2,101.7
"128",2018-08-01,105.8,106.2,106.1,104,101.1,106.8
"129",2018-09-01,104.9,105.4,105.4,103.2,100.2,99.9
"130",2018-10-01,104.9,105.1,105.2,105.1,99.2,97.6
"131",2018-11-01,102.9,103.3,104.3,102.3,99,96.4
"132",2018-12-01,103.9,104.6,104.3,104.6,99.7,98.6
"133",2019-01-01,103.7,104.1,104.7,102.7,100,100.7
"134",2019-02-01,103.3,104.1,103.2,103.8,99.9,96
"135",2019-03-01,104.4,105,104.4,104.9,98.8,97.2
"136",2019-04-01,103,103.8,103,103.3,98,94.8
"137",2019-05-01,103.5,103.8,102.4,104.7,97.7,93.2
"138",2019-06-01,102.3,102.8,101.2,103.9,97.3,89.8
"139",2019-07-01,101.9,102.6,101.3,102.7,97.4,89.3
"140",2019-08-01,102.3,102.9,101.5,103.5,97.8,89.1
"141",2019-09-01,101.2,102.2,100.7,102.4,96.1,89.2
"142",2019-10-01,100.6,101.5,101.3,99.9,97.3,91.3
"143",2019-11-01,100.7,102,100.4,100.8,96,92.9
"144",2019-12-01,98.4,99.8,97.5,98.5,94.5,91.4
"145",2020-01-01,101.6,103.3,102,100.7,97.7,91.1
"146",2020-02-01,102.4,103.4,103,101.2,101.1,91
"147",2020-03-01,91.5,94.7,96.5,85.4,95.9,86.4
"148",2020-04-01,71.2,77.4,82.4,56.1,85.4,77.5
"149",2020-05-01,79.8,84.3,83.4,72.8,84.1,78
"150",2020-06-01,89.2,92.6,88.1,87.4,86,84
"151",2020-07-01,91.6,93.7,91.3,89.7,89.5,82.7
"152",2020-08-01,90.9,93.8,94.1,86.5,92.4,90.5
"153",2020-09-01,93.4,95.9,95.8,90,93.5,87.9
"154",2020-10-01,97.1,99.1,99.2,95.6,96.6,91.2
"155",2020-11-01,98.4,100.5,101.3,96.9,97.6,89
"156",2020-12-01,98.5,101.7,102.7,95.2,99.5,87.7
"157",2021-01-01,98.3,99.3,103.7,94.7,99,88.9
"158",2021-02-01,96.5,97.4,101.2,93.1,95.8,86
"159",2021-03-01,98.5,100.8,104.2,93.5,99.3,88.4
"160",2021-04-01,98.3,100.4,103.9,94.6,98.8,93.1
"161",2021-05-01,97,99.2,104.5,90.1,100.7,89.9
"162",2021-06-01,95.9,98.1,103.9,87.5,98.5,88.5
"163",2021-07-01,97.4,99,103.4,91.2,97.7,85.2
"164",2021-08-01,93.1,95.5,101.1,84.2,97.8,89.1
"165",2021-09-01,92.6,95.4,100.6,83.4,98.8,91.7
"166",2021-10-01,96,98.2,101,90.3,98.8,90.6
"167",2021-11-01,96.6,98.7,101.6,90.7,99.5,89.5
"168",2021-12-01,97.6,99.1,102.3,92.7,100.3,89.5
"169",2022-01-01,97.7,99.7,103,92.6,98.7,89.5
"170",2022-02-01,97.5,99.7,102.7,91.6,98.2,94.2
"171",2022-03-01,93.8,96.6,100.6,85,96.2,87.8
"172",2022-04-01,94.9,97.1,100.8,88.2,95.6,93.9
"173",2022-05-01,95.9,97.8,100.6,90.3,93.2,88.3
"174",2022-06-01,96.6,98.2,100.7,91.7,93.8,87.3
"175",2022-07-01,96.2,97.9,100.2,91.7,92.1,89.4
"176",2022-08-01,96,97.4,98.4,92.6,89.7,86.7
"177",2022-09-01,97.4,98.4,99.3,94.4,89.3,85.2
"178",2022-10-01,96.6,97.6,97.1,95.2,86.1,78.4
"179",2022-11-01,97.5,98.5,97.9,96.6,86.3,80.8
"180",2022-12-01,95.5,95.6,91.6,96.8,81.2,80.8
"181",2023-01-01,97,98.4,96.7,97,85.4,80.8
"182",2023-02-01,99,100.1,98,99.8,86.1,80.6
"183",2023-03-01,96.8,97.7,96,97,84.1,79.3
"184",2023-04-01,97.2,98,95.6,97.4,83,77.4
"185",2023-05-01,97.4,97.9,94.9,99.5,81.5,70.5
"186",2023-06-01,96.5,96.5,95.2,96.2,82.3,68.1
"187",2023-07-01,95.1,95.9,94.3,94.1,81.8,69.7
"188",2023-08-01,95.6,95.7,94.8,95.3,82.5,63.1
