Angaben;01.01.1990;01.01.1991;01.01.1992;01.01.1993;01.01.1994;01.01.1995;01.01.1996;01.01.1997;01.01.1998;01.01.1999;01.01.2000;01.01.2001;01.01.2002;01.01.2003;01.01.2004;01.01.2005;01.01.2006;01.01.2007;01.01.2008;01.01.2009;01.01.2010;01.01.2011;01.01.2012;01.01.2013;01.01.2014;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020;01.01.2021;01.01.2022
Biogas;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;0,297;0,441;0,813;1,334;3,638;3,478;5,06;7,472;8,972;8,422;9,257;10,451;11,342;12,108;12,816;12,883;13,295;13,603;13,393;13,611
biogene Festbrennstoffe (GHD);#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;6,972;9,581;9,695;11,12;11,443;16,046;16,476;21,236;15,813;17,437;18,696;14,945;17,137;16,731;17,45;17,812;19,219;19,101;22,086;20,671
biogene Festbrennstoffe (Haushalte);25,355;25,448;25,448;25,448;25,448;25,448;25,448;42,74;44,369;45,59;45,834;52,307;50,963;54,279;53,044;52,222;61,496;64,092;74,02;65,22;79,304;71,904;83,015;85,941;69,484;69,477;66,289;68,393;70,192;71,154;66,874;78,559;80,021
biogene Festbrennstoffe (HW/HKW);0,001;0,003;0,005;0,011;0,018;0,03;0,041;0,063;0,074;0,086;0,324;0,389;0,52;0,994;1,797;2,043;2,104;2,225;2,759;3,581;4,057;4,665;5,776;5,532;5,465;5,957;6,259;6,193;5,74;6,121;6,296;6,831;6,588
biogene Festbrennstoffe (Industrie);2,909;2,909;2,909;2,909;2,909;2,909;2,788;2,788;3,959;3,917;3,898;4,161;4,273;12,442;18,462;21,266;20,319;22,367;20,156;22,972;28,088;29,089;27,793;25,6;26,53;25,108;27,031;26,326;24,522;23,784;23,279;24,82;23,171
biogene flüssige Brennstoffe;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;0,003;0,002;0,008;0,01;0,048;0,701;0,819;1,219;1,778;2,834;3,409;3,66;3,366;2,562;2,104;2,196;2,372;2,189;2,188;2,194;2,298;2,383;3,217;2,601;2,455
biogene gasförmige Brennstoffe;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;1,335;1,263;1,355;1,353;1,438;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!
biogener Anteil des Abfalls;2,308;2,308;2,308;2,308;2,308;2,308;2,538;2,29;3,405;3,674;3,548;3,421;3,295;5,642;6,034;7,199;8,433;10,747;6,662;6,53;7,26;8,14;9,033;11,645;11,38;11,807;11,669;12,669;14,508;15,308;15,06;15,65;15,073
Biomethan;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;0,021;0,065;0,131;0,49;0,739;1,286;2,059;2,789;3,451;3,548;3,261;3,63;3,765;4,023;4,751;4,761
Deponiegas;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;0,176;0,165;0,231;0,227;0,21;0,154;0,155;0,117;0,101;0,094;0,093;0,098;0,12;0,116;0,107;0,11;0,107;0,095;0,085;0,083
Klargas;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;#WERT!;1,83;1,968;2,082;1,852;1,858;1,972;1,977;1,999;2,059;2,017;1,805;1,801;2,001;2,05;2,141;2,5;2,402;2,378;2,368;2,412
oberflächennahe Geothermie,  Umweltwärme;1,712;1,735;1,765;1,797;1,834;1,877;1,924;1,964;2,006;2,042;2,057;2,07;2,052;2,061;2,121;2,283;2,747;3,437;4,233;5,096;5,938;6,818;7,766;8,732;9,643;10,51;11,408;12,408;13,504;14,655;16,049;17,905;20,465
Solarthermie;0,131;0,168;0,219;0,263;0,334;0,417;0,521;0,656;0,785;1,036;1,226;1,54;1,814;2,389;2,421;2,857;3,363;3,746;4,293;5,061;5,383;6,16;6,416;6,5;7,026;7,562;7,604;7,834;8,955;8,667;9,014;8,551;9,733
tiefe Geothermie;0,1;0,1;0,1;0,1;0,1;0,1;0,111;0,111;0,113;0,113;0,113;0,114;0,114;0,445;0,464;0,532;0,525;0,524;0,55;0,623;0,689;0,722;0,805;0,864;1,052;0,969;1,146;1,168;1,308;1,369;1,427;1,578;1,505
